Timestamp (HH-MM-SS),Time (s),J-2 (center) Thermocouple (°C),TSic AIN0 (°C)
18-21-05,3096.8,16.9596435546875,17.119950234889984
18-21-06,3097.8,16.95206298828125,17.11855125427246
18-21-07,3098.8,16.947723388671875,17.119621872901917
18-21-08,3099.9,16.9473876953125,17.121228218078613
18-21-09,3100.9,16.944989013671876,17.12110722064972
18-21-10,3101.9,16.946978759765624,17.121435165405273
18-21-11,3103.0,16.9452880859375,17.123369872570038
18-21-12,3104.0,16.9423095703125,17.122229993343353
18-21-14,3105.0,16.942620849609376,17.112367033958435
18-21-15,3106.0,16.947467041015624,17.113213181495667
18-21-16,3107.0,16.941754150390626,17.113817751407623
18-21-17,3108.0,16.9423095703125,17.113195657730103
18-21-18,3109.1,16.9481201171875,17.11568319797516
18-21-19,3110.1,16.9469482421875,17.116633236408234
18-21-20,3111.1,16.947161865234374,17.116512656211853
18-21-21,3112.1,16.94744873046875,17.116685390472412
18-21-22,3113.1,16.950262451171874,17.115821719169617
18-21-23,3114.2,16.945654296875,17.108014047145844
18-21-24,3115.2,16.9470947265625,17.114802420139313
18-21-25,3116.2,16.943731689453124,17.10761684179306
18-21-26,3117.2,16.951873779296875,17.099187910556793
18-21-27,3118.2,16.94952392578125,17.092382431030273
18-21-28,3119.2,16.95509033203125,17.090223252773285
18-21-29,3120.3,16.958349609375,17.083607614040375
18-21-30,3121.3,16.9614990234375,17.090309619903564
18-21-31,3122.3,16.958209228515624,17.091242134571075
18-21-32,3123.3,16.959307861328124,17.08973926305771
18-21-33,3124.3,16.95860595703125,17.09780603647232
18-21-34,3125.4,16.95574951171875,17.10513013601303
18-21-35,3126.4,16.9576904296875,17.103454530239105
18-21-36,3127.4,16.95557861328125,17.101727187633514
18-21-37,3128.4,16.961724853515626,17.102072656154633
18-21-38,3129.4,16.962188720703125,17.095664381980896
18-21-39,3130.4,16.960797119140626,17.08920395374298
18-21-40,3131.5,16.958856201171876,17.08395266532898
18-21-41,3132.5,16.963201904296874,17.08592200279236
18-21-42,3133.5,16.962213134765626,17.093211472034454
18-21-43,3134.5,16.9654296875,17.092658638954163
18-21-44,3135.5,16.971697998046874,17.10214191675186
18-21-45,3136.6,16.97347412109375,17.102867484092712
18-21-46,3137.6,16.97083740234375,17.102953851222992
18-21-47,3138.6,16.964501953125,17.096891045570374
18-21-48,3139.6,16.963177490234376,17.105078399181366
18-21-49,3140.6,16.957415771484374,17.09552627801895
18-21-50,3141.6,16.960345458984374,17.094748973846436
18-21-51,3142.7,16.9597412109375,17.095129072666168
18-21-52,3143.7,16.961590576171876,17.094921708106995
18-21-53,3144.7,16.95869140625,17.087304294109344
18-21-54,3145.7,16.9587890625,17.07890957593918
18-21-55,3146.7,16.949139404296876,17.080118715763092
18-21-56,3147.8,16.940283203125,17.079064786434174
18-21-57,3148.8,16.9363525390625,17.080878496170044
18-21-58,3149.8,16.931451416015626,17.07958298921585
18-21-59,3150.8,16.922760009765625,17.087839603424072
18-22-00,3151.8,16.91954345703125,17.0871661901474
18-22-01,3152.9,16.925640869140626,17.08697634935379
18-22-02,3153.9,16.92933349609375,17.086285412311554
18-22-03,3154.9,16.925592041015626,17.087356448173523
18-22-04,3155.9,16.93389892578125,17.087459921836853
18-22-05,3156.9,16.942828369140624,17.08899700641632
18-22-06,3158.0,16.939898681640624,17.08918684720993
18-22-07,3159.0,16.938287353515626,17.08830565214157
18-22-09,3160.0,16.9400634765625,17.080999076366425
18-22-10,3161.0,16.933099365234376,17.07978993654251
18-22-11,3162.0,16.93271484375,17.07232815027237
18-22-12,3163.0,16.937518310546874,17.07279461622238
18-22-13,3164.0,16.9343994140625,17.070825695991516
18-22-14,3165.1,16.93084716796875,17.070169389247894
18-22-15,3166.1,16.9400634765625,17.062932074069977
18-22-16,3167.1,16.935504150390624,17.069011986255646
18-22-17,3168.1,16.92926025390625,17.06825178861618
18-22-18,3169.1,16.93082275390625,17.06135994195938
18-22-19,3170.2,16.9358642578125,17.06187814474106
18-22-20,3171.2,16.933355712890624,17.06079000234604
18-22-21,3172.2,16.939306640625,17.0540708899498
18-22-22,3173.2,16.9421875,17.04726541042328
18-22-23,3174.2,16.941839599609374,17.048871755599976
18-22-24,3175.3,16.93934326171875,17.049493432044983
18-22-25,3176.3,16.94176025390625,17.050546944141388
18-22-26,3177.3,16.938543701171874,17.04895770549774
18-22-27,3178.3,16.93629150390625,17.04937243461609
18-22-28,3179.3,16.9390380859375,17.049994111061096
18-22-29,3180.4,16.943695068359375,17.05021858215332
18-22-30,3181.4,16.936541748046874,17.051514089107513
18-22-31,3182.4,16.9361572265625,17.052774965763092
18-22-32,3183.4,16.940093994140625,17.053534746170044
18-22-33,3184.4,16.943487548828124,17.052722811698914
18-22-34,3185.4,16.9407958984375,17.05895835161209
18-22-35,3186.5,16.943817138671875,17.057887315750122
18-22-36,3187.5,16.942327880859374,17.058111786842346
18-22-37,3188.5,16.949432373046875,17.054933726787567
18-22-38,3189.5,16.945416259765626,17.054985463619232
18-22-39,3190.5,16.95289306640625,17.048128247261047
18-22-40,3191.6,16.95716552734375,17.049199283123016
18-22-41,3192.6,16.9579833984375,17.049458384513855
18-22-42,3193.6,16.94984130859375,17.051461935043335
18-22-43,3194.6,16.955218505859374,17.051185727119446
18-22-44,3195.6,16.946685791015625,17.05139309167862
18-22-45,3196.7,16.944818115234376,17.05123746395111
18-22-46,3197.7,16.945538330078126,17.05123746395111
18-22-47,3198.7,16.94547119140625,17.051272094249725
18-22-48,3199.7,16.9389404296875,17.051531195640564
18-22-49,3200.7,16.93548583984375,17.05125457048416
18-22-50,3201.8,16.933465576171876,17.050822734832764
18-22-51,3202.8,16.93173828125,17.05032205581665
18-22-52,3203.8,16.9331298828125,17.051634669303894
18-22-53,3204.8,16.926171875,17.051289200782776
18-22-54,3205.8,16.93121337890625,17.052515864372253
18-22-55,3206.9,16.93212890625,17.054726779460907
18-22-56,3207.9,16.92838134765625,17.056972324848175
18-22-57,3208.9,16.92591552734375,17.05493414402008
18-22-58,3209.9,16.929180908203126,17.055780708789825
18-22-59,3211.0,16.927496337890624,17.054139733314514
18-23-00,3212.0,16.92557373046875,17.05182534456253
18-23-01,3213.0,16.928118896484374,17.048819601535797
18-23-03,3214.0,16.9274169921875,17.049424171447754
18-23-04,3215.0,16.931640625,17.048180401325226
18-23-05,3216.0,16.933056640625,17.049182176589966
18-23-06,3217.1,16.926959228515624,17.050166845321655
18-23-07,3218.1,16.920819091796876,17.052965223789215
18-23-08,3219.1,16.919329833984374,17.0521879196167
18-23-09,3220.1,16.920819091796876,17.05291348695755
18-23-10,3221.1,16.9202880859375,17.05194592475891
18-23-11,3222.2,16.923406982421874,17.051461935043335
18-23-12,3223.2,16.93055419921875,17.043741047382355
18-23-13,3224.2,16.93236083984375,17.044293880462646
18-23-14,3225.2,16.928179931640624,17.043309211730957
18-23-15,3226.2,16.92677001953125,17.04324036836624
18-23-16,3227.3,16.9234130859375,17.04348236322403
18-23-17,3228.3,16.9234619140625,17.04849123954773
18-23-18,3229.3,16.919879150390624,17.048923075199127
18-23-19,3230.3,16.920361328125,17.04933738708496
18-23-20,3231.3,16.917431640625,17.0507709980011
18-23-21,3232.4,16.925592041015626,17.051824510097504
18-23-22,3233.4,16.93245849609375,17.051910877227783
18-23-23,3234.4,16.941339111328126,17.05178987979889
18-23-24,3235.4,16.947821044921874,17.052930176258087
18-23-25,3236.4,16.9552490234375,17.052930176258087
18-23-26,3237.4,16.953277587890625,17.052187502384186
18-23-27,3238.5,16.94305419921875,17.053448379039764
